track,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,chorus_hit,target
Stupor,Baths,spotify:track:000JBwAOq5d9lNNSnovPYg,0.794,0.669,-6.248,,0.258,8.94E-05,0.338,0.648,108069,34.82253,0
Still Got Time,Zayn Featuring PARTYNEXTDOOR,spotify:track:000xQL6tZNLJzIrtIgxqSl,0.748,0.627,-6.029,,0.131,0,,0.524,188491,31.64719,1
OMG Rock n Roll,Kevin Morby,spotify:track:002ZKDDKt6oObJzIQq5Mrv,0.427,0.774,-4.377,,0.287,0.678,,0.154,149120,24.18619,0
"Swing, Swing",The All-American Rejects,spotify:track:003FTlCpBTM4eSqYSWPv4H,0.553,0.717,-5.857,,6.48E-05,0.128,,0.318,233267,29.84441,1
Frog and Toad Are Friends,Armand Hammer,spotify:track:003I0c4UcwPtqOp3rW7Dv7,0.67,0.918,-6.318,,0.0127,0,0.872,0.678,251947,42.73762,0
I Kissed A Girl,Katy Perry,spotify:track:005lwxGU1tms6HGELIcUv9,0.699,0.76,-3.173,0.0677,0.00223,0,0.132,0.696,179640,31.50965,1
Closet Punk,D.R.I.,spotify:track:00cAz18F7uLKFwls8OrhNo,0.455,0.988,-3.075,,0.0128,0.983,,0.484,31560,9.53802,0
Give It To Her,Tanto Metro & Devonte,spotify:track:00FU5uypELwgQuM9IbFC6G,0.6,0.583,-6.617,,0.0918,0,0.0992,0.763,209053,39.96991,1
Who Did You Think I Was,John Mayer Trio,spotify:track:00gvX9sFwh19OH88f4v4jW,0.232,0.968,-5.597,,0.000379,0.136,0.938,0.419,189160,65.03353,1
New Generation,Nausea,spotify:track:00hZAsUY82KD3SMjWg4CCL,0.315,0.97,-5.155,0.236,0.000166,0.9,,0.268,197920,23.28369,0
The Girl I Haven't Met,Kudasaibeats,spotify:track:00iwQgjIgoGO94BRBDyClo,0.785,0.222,-21.624,0.0418,0.86,0.84,0.106,0.327,195000,54.8746,0
Nova Era (Live),Angra,spotify:track:00KzDibWxgd4pIJPNgN196,0.266,0.95,-6.908,0.0729,5.77E-06,3.64E-06,,0.106,294773,37.66559,0
Sk8er Boi,Avril Lavigne,spotify:track:00Mb3DuaIH1kjrwOku9CGU,0.487,0.9,-4.417,,6.79E-05,0,,0.484,204000,39.84521,1
You Rock My World,Java Gospel,spotify:track:00nQhTtc8FxgmB0NWypSE0,0.662,0.854,-5.518,0.0434,0.133,0,,0.915,245947,40.45327,0
We Own It (Fast & Furious),2 Chainz & Wiz Khalifa,spotify:track:00QyLmjxaSEE8qIZQjBXBj,0.554,0.899,-4.573,,0.0521,0,0.0568,0.552,227893,56.87412,1
